text,label
This is my laptop,English
The weather is nice today,English
The weather is nice today,English
She is reading a book,English
"Hello, how are you?",English
The weather is nice today,English
"Hello, how are you?",English
He plays football every evening,English
"Hello, how are you?",English
This is my laptop,English
"Hello, how are you?",English
She is reading a book,English
The weather is nice today,English
The weather is nice today,English
The weather is nice today,English
I am going to school,English
This is my laptop,English
She is reading a book,English
The weather is nice today,English
The weather is nice today,English
He plays football every evening,English
He plays football every evening,English
This is my laptop,English
What are you doing today?,English
She is reading a book,English
"Hello, how are you?",English
I am going to school,English
He plays football every evening,English
She is reading a book,English
I am going to school,English
He plays football every evening,English
She is reading a book,English
He plays football every evening,English
This is my laptop,English
I am going to school,English
"Hello, how are you?",English
He plays football every evening,English
"Hello, how are you?",English
"Hello, how are you?",English
She is reading a book,English
I am going to school,English
She is reading a book,English
She is reading a book,English
She is reading a book,English
She is reading a book,English
I am going to school,English
What are you doing today?,English
What are you doing today?,English
He plays football every evening,English
She is reading a book,English
He plays football every evening,English
The weather is nice today,English
This is my laptop,English
I am going to school,English
The weather is nice today,English
I am going to school,English
She is reading a book,English
The weather is nice today,English
What are you doing today?,English
The weather is nice today,English
This is my laptop,English
This is my laptop,English
He plays football every evening,English
She is reading a book,English
He plays football every evening,English
He plays football every evening,English
The weather is nice today,English
I am going to school,English
I am going to school,English
I am going to school,English
"Hello, how are you?",English
"Hello, how are you?",English
This is my laptop,English
"Hello, how are you?",English
The weather is nice today,English
The weather is nice today,English
This is my laptop,English
He plays football every evening,English
I am going to school,English
He plays football every evening,English
She is reading a book,English
He plays football every evening,English
This is my laptop,English
"Hello, how are you?",English
"Hello, how are you?",English
He plays football every evening,English
The weather is nice today,English
He plays football every evening,English
She is reading a book,English
This is my laptop,English
The weather is nice today,English
This is my laptop,English
He plays football every evening,English
The weather is nice today,English
This is my laptop,English
This is my laptop,English
I am going to school,English
He plays football every evening,English
The weather is nice today,English
He plays football every evening,English
She is reading a book,English
What are you doing today?,English
What are you doing today?,English
The weather is nice today,English
I am going to school,English
She is reading a book,English
He plays football every evening,English
He plays football every evening,English
"Hello, how are you?",English
What are you doing today?,English
She is reading a book,English
She is reading a book,English
She is reading a book,English
The weather is nice today,English
This is my laptop,English
The weather is nice today,English
He plays football every evening,English
What are you doing today?,English
He plays football every evening,English
This is my laptop,English
He plays football every evening,English
What are you doing today?,English
She is reading a book,English
The weather is nice today,English
He plays football every evening,English
She is reading a book,English
I am going to school,English
She is reading a book,English
This is my laptop,English
This is my laptop,English
"Hello, how are you?",English
"Hello, how are you?",English
He plays football every evening,English
He plays football every evening,English
What are you doing today?,English
I am going to school,English
I am going to school,English
What are you doing today?,English
He plays football every evening,English
What are you doing today?,English
"Hello, how are you?",English
"Hello, how are you?",English
What are you doing today?,English
I am going to school,English
I am going to school,English
"Hello, how are you?",English
What are you doing today?,English
This is my laptop,English
The weather is nice today,English
He plays football every evening,English
The weather is nice today,English
She is reading a book,English
He plays football every evening,English
"Hello, how are you?",English
She is reading a book,English
This is my laptop,English
What are you doing today?,English
"Hello, how are you?",English
What are you doing today?,English
She is reading a book,English
I am going to school,English
She is reading a book,English
She is reading a book,English
He plays football every evening,English
What are you doing today?,English
What are you doing today?,English
The weather is nice today,English
The weather is nice today,English
The weather is nice today,English
He plays football every evening,English
She is reading a book,English
I am going to school,English
He plays football every evening,English
"Hello, how are you?",English
"Hello, how are you?",English
She is reading a book,English
The weather is nice today,English
She is reading a book,English
The weather is nice today,English
She is reading a book,English
She is reading a book,English
He plays football every evening,English
She is reading a book,English
I am going to school,English
What are you doing today?,English
"Hello, how are you?",English
She is reading a book,English
This is my laptop,English
What are you doing today?,English
What are you doing today?,English
He plays football every evening,English
He plays football every evening,English
I am going to school,English
What are you doing today?,English
This is my laptop,English
I am going to school,English
"Hello, how are you?",English
This is my laptop,English
He plays football every evening,English
"Hello, how are you?",English
She is reading a book,English
She is reading a book,English
She is reading a book,English
I am going to school,English
What are you doing today?,English
What are you doing today?,English
He plays football every evening,English
I am going to school,English
"Hello, how are you?",English
What are you doing today?,English
What are you doing today?,English
This is my laptop,English
"Hello, how are you?",English
She is reading a book,English
"Hello, how are you?",English
He plays football every evening,English
He plays football every evening,English
He plays football every evening,English
What are you doing today?,English
She is reading a book,English
I am going to school,English
This is my laptop,English
This is my laptop,English
The weather is nice today,English
I am going to school,English
What are you doing today?,English
What are you doing today?,English
What are you doing today?,English
This is my laptop,English
He plays football every evening,English
I am going to school,English
What are you doing today?,English
The weather is nice today,English
"Hello, how are you?",English
I am going to school,English
"Hello, how are you?",English
He plays football every evening,English
I am going to school,English
The weather is nice today,English
I am going to school,English
She is reading a book,English
He plays football every evening,English
He plays football every evening,English
He plays football every evening,English
What are you doing today?,English
I am going to school,English
I am going to school,English
I am going to school,English
"Hello, how are you?",English
This is my laptop,English
Indha padam romba nalla irukku,Tamil
